"","Country","Year","Status","Life.expectancy","Adult.Mortality","Alcohol","percentage.expenditure","Hepatitis.B","BMI","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling"
"2","Afghanistan",2014,"Developing",59.9,271,0.01,73.52358168,62,18.6,58,8.18,62,0.1,612.696514,327582,17.5,17.5,0.476,10
"18","Albania",2014,"Developing",77.5,8,4.51,428.7490668,98,57.2,98,5.88,98,0.1,4575.763787,288914,1.2,1.3,0.761,14.2
"34","Algeria",2014,"Developing",75.4,11,0.01,54.2373183,95,58.4,95,7.21,95,0.1,547.8517,39113313,6,5.8,0.741,14.4
"50","Angola",2014,"Developing",51.7,348,8.33,23.965612,64,22.7,68,3.31,64,2,479.31224,2692466,8.5,8.3,0.527,11.4
"82","Argentina",2014,"Developing",76.2,118,7.93,847.3717463,94,62.2,92,4.79,94,0.1,12245.25645,42981515,1,0.9,0.825,17.3
"98","Armenia",2014,"Developing",74.6,12,3.91,295.6087143,93,54.1,95,4.48,93,0.1,3994.712355,29622,2.1,2.1,0.739,12.7
"114","Australia",2014,"Developed",82.7,6,9.71,10769.36305,91,66.1,92,9.42,92,0.1,62214.6912,2346694,0.6,0.6,0.936,20.4
"130","Austria",2014,"Developed",81.4,66,12.32,8350.193523,98,57.1,98,11.21,98,0.1,51322.63997,8541575,1.8,2,0.892,15.9
"146","Azerbaijan",2014,"Developing",72.5,119,0.01,306.1824313,94,51.5,97,6.4,94,0.1,7891.299776,953579,2.8,2.9,0.752,12.2
"194","Bangladesh",2014,"Developing",71.4,132,0.01,10.44640334,97,17.7,97,2.82,97,0.1,184.56543,15945279,18.1,18.6,0.57,10
"226","Belarus",2014,"Developing",72,199,13.94,1147.1114,97,61.7,97,5.69,97,0.1,8318.429294,9474511,1.9,2,0.796,15.7
"242","Belgium",2014,"Developed",89,76,12.6,7163.348923,98,63.4,99,1.59,99,0.1,47439.39684,112957,1,1,0.89,16.3
"258","Belize",2014,"Developing",70,177,6.58,670.0920883,95,5.1,95,5.79,95,0.2,4852.223666,351694,3.4,3.4,0.705,12.8
"274","Benin",2014,"Developing",59.7,252,0.01,90.12206791,78,25.2,74,4.59,78,1.1,943.686575,1286712,7.1,6.9,0.475,10.7
"290","Bhutan",2014,"Developing",69.4,216,0.01,209.3921344,99,23.6,98,3.57,99,0.5,2522.7968,776448,15.7,16.2,0.596,12.5
"322","Bosnia and Herzegovina",2014,"Developing",77.2,89,4.03,732.8662491,89,55.3,86,9.57,86,0.1,5193.94932,35662,2.4,2.4,0.742,14.2
"338","Botswana",2014,"Developing",65.1,268,0.01,662.802194,95,37.3,96,5.41,95,2.3,7497.762376,2168573,6.7,6.4,0.697,12.6
"354","Brazil",2014,"Developing",74.8,144,7.32,83.16465362,96,55.3,96,8.32,93,0.1,1226.61731,24213133,2.7,2.7,0.747,15.2
"386","Bulgaria",2014,"Developed",74.3,138,12.03,153.1400362,95,65.1,88,8.44,88,0.1,7853.335191,7223938,1.9,1.9,0.787,14.8
"402","Burkina Faso",2014,"Developing",59.3,268,0.01,8.386339501,91,18.8,91,4.96,91,0.6,75.1464113,17585977,8.2,7.7,0.398,7.7
"418","Burundi",2014,"Developing",59.1,297,0.01,41.25159038,95,18.2,95,7.54,95,0.7,312.7489794,989179,7.4,7.3,0.404,10.6
"450","Cabo Verde",2014,"Developing",73,117,0.01,414.0242418,97,3.5,95,4.76,95,0.2,3529.61843,526437,6.8,6.7,0.643,13.5
"466","Cambodia",2014,"Developing",68.3,179,0.01,12.17952064,88,18.9,87,5.68,88,0.2,198.687123,152779,1.9,11,0.553,10.9
"482","Cameroon",2014,"Developing",56.7,366,0.01,61.39263642,87,28.4,86,4.1,87,3.7,1441.1417,2223994,5.7,5.7,0.507,10.4
"498","Canada",2014,"Developing",82,65,8.1,102.1902168,55,66.4,91,1.45,91,0.1,544.43376,35544564,0.5,0.5,0.912,15.9
"514","Central African Republic",2014,"Developing",58,437,0.01,53.43964323,47,22.1,47,4.2,47,4.5,377.132274,4515392,8.4,8.3,0.345,7.1
"530","Chad",2014,"Developing",52.6,362,0.01,11.3020668,37,18.7,44,3.62,37,2.9,125.998515,13569438,8.7,8.5,0.39,7.3
"546","Chile",2014,"Developing",83,83,7.16,2352.999591,95,63.1,95,7.79,95,0.1,14817.37778,17613798,0.8,0.8,0.841,16.2
"562","China",2014,"Developing",75.8,86,5.78,109.8743903,99,31.9,99,5.55,99,0.1,7683.5238,136427,3.7,3,0.723,13.1
"578","Colombia",2014,"Developing",74.6,144,4.38,1435.487755,9,57.2,9,7.2,9,0.1,7913.383432,47791911,2.1,1.9,0.72,13.6
"594","Comoros",2014,"Developing",63.2,23,0.01,73.86584922,88,23.7,87,6.75,87,0.8,852.954379,759385,6.8,6.6,0.497,11.1
"627","Costa Rica",2014,"Developing",79.5,96,3.45,384.5129138,91,59.5,91,9.31,91,0.1,1647.44179,4757575,1.7,1.7,0.768,13.9
"643","Croatia",2014,"Developed",77.8,97,12.14,1884.098811,95,63.1,95,7.8,95,0.1,13467.46827,4238389,1.5,1.5,0.82,15.1
"675","Cyprus",2014,"Developed",83,53,0.01,207.3041936,96,59.8,99,7.37,99,0.1,2734.88382,115239,0.9,1,0.85,14
"755","Djibouti",2014,"Developing",63,252,0.38,24.73299655,78,34.4,78,1.57,78,2.1,174.91511,912164,5.6,5.4,0.467,6.3
"772","Dominican Republic",2014,"Developing",73.6,154,5.92,1088.244952,89,57.9,9,4.38,91,0.3,6268.692122,145844,3.3,3.2,0.712,13.2
"788","Ecuador",2014,"Developing",76,121,3.82,79.11626341,83,53.5,84,9.16,83,0.1,6432.216537,1593112,1.2,1.1,0.737,14
"820","El Salvador",2014,"Developing",73.3,181,2.52,665.7260253,93,55.4,93,6.77,94,0.2,3988.771871,6281189,1.6,1.6,0.676,13.2
"836","Equatorial Guinea",2014,"Developing",57.9,32,0.01,13.40477417,2,24,24,3.8,2,4.4,192.59733,1129424,8.5,8.4,0.582,9.2
"868","Estonia",2014,"Developing",77.3,122,0.01,2700.07305,93,59.4,93,6.38,93,0.1,19941.45532,1314545,1.9,1.9,0.86,16.5
"884","Ethiopia",2014,"Developing",64.2,234,0.01,89.95805845,77,17.2,75,4.88,77,0.6,571.1622759,97366774,1.5,1.3,0.435,8.4
"900","Fiji",2014,"Developing",69.7,19,0.01,50.539484,99,61.9,99,4.49,99,0.1,546.3728,88586,4,3.7,0.727,15.2
"932","France",2014,"Developing",82.2,79,11.5,6739.677606,83,62,98,11.54,98,0.1,42955.24287,66331957,0.6,0.6,0.89,16.2
"948","Gabon",2014,"Developing",65.5,237,0.01,715.2816939,7,35.8,68,3.44,7,2.8,9692.163874,1875713,6.1,6,0.687,12.6
"980","Georgia",2014,"Developing",74.5,125,6.13,221.482875,91,55.3,91,7.42,91,0.1,4429.6575,3727,2.7,2.8,0.759,13.5
"996","Germany",2014,"Developed",89,69,11.03,941.7562909,88,61.9,94,11.3,95,0.1,4792.65288,89825,1.1,1.1,0.92,17
"1012","Ghana",2014,"Developing",62.1,253,0.01,97.67794571,98,28,93,3.56,98,0.8,1432.227943,26962563,6.4,6.3,0.576,11.7
"1028","Greece",2014,"Developing",88,73,7.53,2163.043414,96,66,99,8.8,99,0.1,21673.7817,1892413,0.8,0.7,0.862,17.2
"1060","Guatemala",2014,"Developing",71.7,187,1.88,657.5282797,73,49.9,65,6.2,73,0.4,3687.763767,15923559,1.2,1.2,0.614,10.7
"1076","Guinea",2014,"Developing",58.1,299,0.01,50.57976483,51,22.7,42,5.64,51,0.5,561.997387,118559,7.5,7.4,0.412,8.6
"1092","Guinea-Bissau",2014,"Developing",58.4,282,0.01,50.06053544,87,25.6,87,5.59,87,3.4,642.6256154,1725744,7.3,7.1,0.419,9.2
"1108","Guyana",2014,"Developing",66,217,7.64,4.141293345,98,45.9,97,5.25,98,0.3,43.82321,763393,5.5,5.3,0.636,10.3
"1124","Haiti",2014,"Developing",63.1,245,0.01,5.103249438,48,48.8,55,7.56,48,0.5,83.1148117,1572466,3.9,3.9,0.487,9.1
"1140","Honduras",2014,"Developing",74.5,149,2.87,345.3776344,97,5.2,97,8.72,97,0.3,2242.711912,889216,2.1,2.1,0.618,11.4
"1188","India",2014,"Developing",68,184,3.07,86.52153895,79,18.1,84,4.69,85,0.2,1573.11889,1293859294,26.8,27.4,0.607,11.6
"1204","Indonesia",2014,"Developing",68.9,179,0.09,200.0684443,78,26.5,8,2.85,78,0.3,3491.595887,255131116,1.4,1.2,0.682,12.9
"1236","Iraq",2014,"Developing",67.9,199,0.01,43.5240801,62,58.5,67,5.54,64,0.1,673.74737,3568,5.3,5.1,0.658,10.1
"1252","Ireland",2014,"Developed",81.2,66,10.75,746.3670453,95,62.1,96,7.78,96,0.1,5553.32623,4617225,0.3,0.2,0.91,18.6
"1268","Israel",2014,"Developing",82.2,6,2.62,4348.33531,97,64.6,95,7.81,95,0.1,37582.84624,82157,1.2,1.1,0.895,16
"1284","Italy",2014,"Developed",82.5,57,7.56,4831.644796,95,63.1,95,9.25,95,0.1,35396.66517,678914,0.6,0.6,0.877,16.3
"1300","Jamaica",2014,"Developing",75.8,133,3.83,427.3054534,92,53.5,93,5.36,92,0.5,4855.743789,286287,1.8,1.7,0.727,12.8
"1332","Jordan",2014,"Developing",74,113,0.41,63.8784522,98,64.8,98,7.45,98,0.1,466.94775,88936,3.9,3.9,0.737,13.1
"1348","Kazakhstan",2014,"Developing",69.9,22,6.29,24.44473709,95,52.3,95,4.36,95,0.1,1286.56511,17289224,2.4,2.5,0.789,15
"1364","Kenya",2014,"Developing",62.9,255,0.01,170.9626624,92,21.3,93,5.72,92,2.9,1335.6458,462425,7.8,7.7,0.546,11.1
"1380","Kiribati",2014,"Developing",66.1,2,0.01,97.87193319,75,77.1,79,1.21,75,0.1,1684.54274,11458,0.1,0.1,0.597,11.9
"1444","Latvia",2014,"Developed",74.4,156,0.01,1542.635979,92,6.7,92,5.88,92,0.1,15725.1374,1993782,2.2,2.2,0.822,16
"1460","Lebanon",2014,"Developing",74.8,99,1.32,140.3771361,81,65.4,75,6.39,81,0.1,8161.4614,563279,4.8,4.9,0.763,13.3
"1476","Lesotho",2014,"Developing",52.1,522,0.01,162.1278115,93,32,9,1.62,93,9.4,1174.839214,2145785,5.8,5.6,0.491,10.8
"1492","Liberia",2014,"Developing",58.1,329,0.01,54.37396957,5,26.7,49,1.4,5,0.9,458.4651734,439737,6.7,6.5,0.426,9.9
"1524","Lithuania",2014,"Developed",73.4,169,15.19,2211.744178,94,61.9,93,6.55,93,0.1,16554.97139,2932367,2.6,2.7,0.841,16.5
"1540","Luxembourg",2014,"Developed",81.7,65,11.12,16255.16198,94,6.9,99,6.94,99,0.1,119172.7418,556319,1,0.9,0.892,13.9
"1556","Madagascar",2014,"Developing",65.1,225,0.01,5.339065673,73,2,73,3.4,73,0.3,452.4631926,2358981,7.2,7.1,0.509,10.3
"1572","Malawi",2014,"Developing",57.6,377,0.01,59.48744893,91,19.2,87,11.38,91,5.1,354.7253961,1768838,6.5,6.3,0.466,10.7
"1588","Malaysia",2014,"Developing",74.8,126,0.52,721.3655432,96,39.5,97,4.17,97,0.1,11183.96191,322817,7.6,7.4,0.783,13
"1604","Maldives",2014,"Developing",78.2,62,0.01,2051.748615,99,26.2,99,13.73,99,0.1,7716.2415,41,13.6,13.7,0.693,12.7
"1620","Mali",2014,"Developing",57.8,272,0.01,46.56231672,73,23.2,74,6.86,73,1.6,825.5729915,16962846,7.9,7.7,0.43,8.2
"1636","Malta",2014,"Developed",81.4,55,8.49,409.6000248,9,69.2,99,9.75,99,0.1,2618.92599,427364,0.8,0.8,0.847,14.3
"1653","Mauritania",2014,"Developing",63,26,0.01,80.92679802,84,3.1,84,3.77,84,0.9,1326.66882,46392,8,7.7,0.509,8.5
"1669","Mauritius",2014,"Developing",74.2,148,0.01,115.2784282,97,32.8,98,4.81,97,0.1,1153.93822,126934,7,6.9,0.769,14.7
"1685","Mexico",2014,"Developing",76.6,122,5.26,168.173753,84,62.8,87,6.3,87,0.1,1452.27766,1242216,1.6,1.5,0.754,13.1
"1718","Mongolia",2014,"Developing",68.4,225,0.01,281.0023992,99,51.5,99,4.73,99,0.1,4181.583321,2923896,2.2,2.3,0.729,14.8
"1734","Montenegro",2014,"Developing",75.9,17,0.01,726.0291764,87,61.3,91,6.42,91,0.1,7378.345289,62181,1.8,1.9,0.803,15.1
"1750","Morocco",2014,"Developing",74.1,96,0.43,198.7343495,99,57.5,99,5.91,99,0.1,3154.513484,3431882,6.4,6.2,0.64,12.1
"1766","Mozambique",2014,"Developing",56.7,375,0.01,54.91159475,79,22.2,79,6.98,79,4.1,623.2871141,27212382,3.6,3.5,0.409,9.1
"1782","Myanmar",2014,"Developing",66.4,21,0.01,45.33788677,88,22.9,88,2.28,88,0.3,1262.893782,51924182,12.9,13.1,0.547,9.1
"1798","Namibia",2014,"Developing",65.9,242,0.01,751.3982719,88,34.9,88,8.93,88,2.2,5421.343953,237992,8.6,8.5,0.632,11.7
"1815","Nepal",2014,"Developing",69.6,158,0.01,8.523486403,92,18.5,92,5.8,92,0.1,76.2386977,28323241,15.9,16.3,0.551,12.4
"1831","Netherlands",2014,"Developed",81.7,58,0.01,1491.703605,92,61.6,96,1.9,96,0.1,52157.4687,168658,1,0.9,0.923,18.1
"1863","Nicaragua",2014,"Developing",74.5,148,3.55,473.1238124,98,53.2,99,9.4,98,0.1,1975.46477,613997,1.8,1.7,0.636,11.6
"1879","Niger",2014,"Developing",61.4,223,0.01,3.304039899,68,18.9,67,5.82,68,0.5,43.646498,19148219,9.8,9.6,0.345,5.3
"1895","Nigeria",2014,"Developing",53.6,362,0.01,263.2111031,49,24.7,49,3.67,49,3.9,3221.678128,1764652,1.1,9.9,0.521,10
"1944","Pakistan",2014,"Developing",66.2,162,0.01,62.29361092,72,24.7,72,2.61,72,0.1,1316.98966,185546257,19.4,19.8,0.542,7.8
"1961","Panama",2014,"Developing",77.6,119,6.74,1842.463782,8,57.1,8,8.3,8,0.1,12593.7374,393986,1.9,1.8,0.78,13
"1977","Papua New Guinea",2014,"Developing",62.7,278,0.01,208.2311603,67,47.9,64,4.26,73,0.7,2182.716565,7755785,1.3,1.3,0.511,10
"1993","Paraguay",2014,"Developing",73.9,147,0.01,561.7684701,87,49.4,83,9.81,87,0.2,4712.822736,6552584,2,1.9,0.688,12.3
"2009","Peru",2014,"Developing",75.3,125,0.01,973.728675,88,54.9,78,5.47,88,0.1,6491.5245,3973354,1.1,1.1,0.735,13.4
"2025","Philippines",2014,"Developing",68.4,214,4.52,31.27232188,67,24.8,77,4.71,67,0.1,2842.938353,112249,1,9.7,0.676,11.7
"2041","Poland",2014,"Developed",77.3,12,10.71,243.808475,96,61.1,94,6.35,98,0.1,14341.675,3811735,1.9,2.1,0.85,16.4
"2057","Portugal",2014,"Developed",89,78,9.88,271.2545531,98,6.9,98,9.5,98,0.1,2277.53613,14162,0.7,0.5,0.837,16.8
"2121","Romania",2014,"Developed",74.8,135,0.01,1.576409172,94,59.9,94,5.57,94,0.1,12.27733,1998979,2.6,2.8,0.797,14.7
"2137","Russian Federation",2014,"Developing",73,225,10.12,1340.553699,97,59.9,97,7.7,97,0.1,14125.961,143819666,2.3,2.3,0.803,14.9
"2153","Rwanda",2014,"Developing",65.7,23,0.01,7.549797238,98,2.8,98,7.53,98,0.4,76.5699517,11345357,5.8,5.8,0.488,10.8
"2202","Samoa",2014,"Developing",73.8,128,0.01,660.2777923,56,74.3,58,7.22,63,0.1,4178.973369,19229,0.2,0.1,0.701,12.9
"2219","Sao Tome and Principe",2014,"Developing",67.3,191,0.01,225.7307751,95,3.1,95,8.35,95,0.2,1821.878734,191266,5.6,5.4,0.562,11.1
"2251","Senegal",2014,"Developing",66.4,192,0.26,12.80528533,89,23.8,85,4.66,89,0.3,152.443873,14546111,9.7,9.5,0.483,9.1
"2267","Serbia",2014,"Developing",75.4,123,9.09,8.617208431,92,59.4,93,1.37,93,0.1,62.173221,713576,2.1,2.1,0.771,14.3
"2283","Seychelles",2014,"Developing",73,17,0.01,151.1045552,99,36.2,99,3.37,99,0.1,1557.77892,91359,5.7,6,0.766,13.2
"2299","Sierra Leone",2014,"Developing",48.1,463,0.01,1.443286353,83,23.8,83,11.9,83,0.6,78.4394757,779162,7.5,7.4,0.426,9.5
"2363","Solomon Islands",2014,"Developing",68.8,183,0.01,3.718438799,88,49.7,94,5.5,88,0.1,29.652622,57554,1.1,1.2,0.512,9.6
"2395","South Africa",2014,"Developing",62,347,7.38,922.0507313,8,5.3,77,8.8,77,3.7,6479.625659,54146734.74,4.9,5.9,0.66,13
"2427","Spain",2014,"Developed",82.6,58,0.01,42.98847625,96,66,97,9.3,97,0.1,296.47225,4648882,0.6,0.5,0.877,17.6
"2443","Sri Lanka",2014,"Developing",74.7,141,2.37,42.7308283,99,22.7,99,3.5,99,0.1,382.54994,2771,15.2,15,0.76,14
"2475","Suriname",2014,"Developing",71.4,178,6.32,1132.432517,85,57.7,85,5.69,85,0.4,9564.46383,547928,3.5,3.5,0.722,12.7
"2491","Swaziland",2014,"Developing",58.4,382,0.01,574.3895102,98,31.8,98,9.25,98,7.3,3464.35169,129597,4.3,4.3,0.541,11.4
"2507","Sweden",2014,"Developed",82.3,54,7.3,1142.212403,67,59,98,11.93,98,0.1,5918.19898,969611,1.5,1.3,0.906,15.8
"2555","Tajikistan",2014,"Developing",69.6,162,0.01,7.829008596,97,39.9,94,6.88,97,0.2,114.45919,8362745,3.6,3.7,0.622,11.3
"2571","Thailand",2014,"Developing",74.6,152,6.41,789.0772949,99,32.4,99,4.12,99,0.1,5941.8471,68416772,7.8,7.8,0.737,13.6
"2603","Timor-Leste",2014,"Developing",68,155,0.01,28.14578503,77,17,76,1.48,77,0.1,1153.51578,1212814,1.9,11.1,0.612,12.5
"2619","Togo",2014,"Developing",59.7,285,0.01,4.877350139,87,23.7,85,5.25,87,1,62.1318489,7228915,6.6,6.4,0.475,12
"2635","Tonga",2014,"Developing",73.3,135,0.01,565.9672173,8,74.8,82,5.18,8,0.1,4192.349758,15782,0.1,0.1,0.716,14.3
"2651","Trinidad and Tobago",2014,"Developing",71.1,171,6.94,1578.872339,92,46,94,5.93,92,0.3,19325.24283,1354493,5.8,6,0.778,12.7
